           ANÁLISE DE FREQUÊNCIA DE PALAVRAS           
Arquivo analisado: dom-casmurro.txt
Estrutura utilizada: Open Hash
Total de palavras únicas: 9601
Tempo total de execução: 77 ms
Numero de comparações: 237244
Número de colisões: 81110
═══════════════════════════════════════════════════════
Palavra: razão, Frequência: 34
Palavra: ora, Frequência: 33
Palavra: talvez, Frequência: 33
Palavra: vamos, Frequência: 33
Palavra: suas, Frequência: 33
Palavra: morte, Frequência: 33
Palavra: tres, Frequência: 32
Palavra: sair, Frequência: 32
Palavra: works, Frequência: 32
Palavra: entrar, Frequência: 32
Palavra: vou, Frequência: 32
Palavra: filha, Frequência: 32
Palavra: digo, Frequência: 32
Palavra: fiquei, Frequência: 32
Palavra: missa, Frequência: 31
Palavra: mulher, Frequência: 31
Palavra: falava, Frequência: 31
Palavra: longe, Frequência: 31
Palavra: gosto, Frequência: 31
Palavra: seja, Frequência: 31
Palavra: quer, Frequência: 31
Palavra: livro, Frequência: 31
Palavra: desde, Frequência: 31
Palavra: uns, Frequência: 31
Palavra: cabral, Frequência: 31
Palavra: dava, Frequência: 31
Palavra: muita, Frequência: 30
Palavra: papae, Frequência: 30
Palavra: minutos, Frequência: 30
Palavra: aggregado, Frequência: 30
Palavra: modo, Frequência: 30
Palavra: boa, Frequência: 30
Palavra: ninguem, Frequência: 30
Palavra: estar, Frequência: 30
Palavra: tenho, Frequência: 30
Palavra: trazia, Frequência: 30
Palavra: minhas, Frequência: 29
Palavra: hora, Frequência: 29
Palavra: vinha, Frequência: 29
Palavra: papel, Frequência: 29
Palavra: tive, Frequência: 29
Palavra: anno, Frequência: 29
Palavra: vocação, Frequência: 29
Palavra: acabou, Frequência: 28
Palavra: ponto, Frequência: 28
Palavra: cá, Frequência: 28
Palavra: costume, Frequência: 28
Palavra: promessa, Frequência: 28
Palavra: not, Frequência: 28
Palavra: graça, Frequência: 28
Palavra: simples, Frequência: 28
Palavra: vontade, Frequência: 28
Palavra: sabia, Frequência: 27
Palavra: s, Frequência: 27
Palavra: ar, Frequência: 27
Palavra: lado, Frequência: 27
Palavra: devia, Frequência: 27
Palavra: pedir, Frequência: 27
Palavra: dei, Frequência: 27
Palavra: for, Frequência: 27
Palavra: livros, Frequência: 27
Palavra: mezes, Frequência: 27
Palavra: estou, Frequência: 27
Palavra: fiz, Frequência: 27
Palavra: by, Frequência: 27
Palavra: cousas, Frequência: 27
Palavra: electronic, Frequência: 27
Palavra: contrario, Frequência: 26
Palavra: protonotario, Frequência: 26
Palavra: nova, Frequência: 26
Palavra: qualquer, Frequência: 26
Palavra: amiga, Frequência: 26
Palavra: foram, Frequência: 26
Palavra: realmente, Frequência: 25
Palavra: taes, Frequência: 25
Palavra: moça, Frequência: 25
Palavra: senti, Frequência: 25
Palavra: esse, Frequência: 25
Palavra: dizendo, Frequência: 25
Palavra: manhã, Frequência: 25
Palavra: apenas, Frequência: 25
Palavra: ficar, Frequência: 25
Palavra: saiu, Frequência: 25
Palavra: janella, Frequência: 25
Palavra: haver, Frequência: 25
Palavra: mar, Frequência: 25
Palavra: tu, Frequência: 25
Palavra: respondeu, Frequência: 25
Palavra: ficou, Frequência: 25
Palavra: cada, Frequência: 24
Palavra: nossas, Frequência: 24
Palavra: diga, Frequência: 24
Palavra: fazia, Frequência: 24
Palavra: santa, Frequência: 24
Palavra: medo, Frequência: 24
Palavra: quanto, Frequência: 24
Palavra: contar, Frequência: 24
Palavra: matacavallos, Frequência: 23
Palavra: horas, Frequência: 23
Palavra: iam, Frequência: 23
Palavra: maior, Frequência: 23
Palavra: vá, Frequência: 23
Palavra: memoria, Frequência: 23
Palavra: are, Frequência: 23
Palavra: is, Frequência: 23
Palavra: sabe, Frequência: 23
Palavra: fica, Frequência: 23
Palavra: posto, Frequência: 23
Palavra: nenhuma, Frequência: 23
Palavra: cama, Frequência: 23
Palavra: latim, Frequência: 22
Palavra: leitor, Frequência: 22
Palavra: grandes, Frequência: 22
Palavra: particular, Frequência: 22
Palavra: foundation, Frequência: 22
Palavra: força, Frequência: 22
Palavra: europa, Frequência: 22
Palavra: principio, Frequência: 22
Palavra: deste, Frequência: 22
Palavra: contava, Frequência: 22
Palavra: amigos, Frequência: 22
Palavra: if, Frequência: 22
Palavra: terms, Frequência: 22
Palavra: egreja, Frequência: 22
Palavra: posso, Frequência: 22
Palavra: falou, Frequência: 22
Palavra: continuou, Frequência: 22
Palavra: manduca, Frequência: 21
Palavra: pequeno, Frequência: 21
Palavra: edade, Frequência: 21
Palavra: familia, Frequência: 21
Palavra: claro, Frequência: 21
Palavra: segundo, Frequência: 21
Palavra: pediu, Frequência: 21
Palavra: nenhum, Frequência: 21
Palavra: aquelle, Frequência: 21
Palavra: pensei, Frequência: 21
Palavra: delles, Frequência: 21
Palavra: dellas, Frequência: 21
Palavra: cheguei, Frequência: 21
Palavra: vespera, Frequência: 21
Palavra: ellas, Frequência: 21
Palavra: entrou, Frequência: 21
Palavra: amanhã, Frequência: 21
Palavra: copyright, Frequência: 20
Palavra: terra, Frequência: 20
Palavra: via, Frequência: 20
Palavra: instantes, Frequência: 20
Palavra: corredor, Frequência: 20
Palavra: nome, Frequência: 20
Palavra: ideias, Frequência: 20
Palavra: essa, Frequência: 20
Palavra: amor, Frequência: 20
Palavra: quarto, Frequência: 20
Palavra: quero, Frequência: 20
Palavra: seguinte, Frequência: 20
Palavra: perto, Frequência: 20
Palavra: sentido, Frequência: 20
Palavra: vivia, Frequência: 20
Palavra: hoje, Frequência: 20
Palavra: cabellos, Frequência: 20
Palavra: daquella, Frequência: 19
Palavra: discurso, Frequência: 19
Palavra: possivel, Frequência: 19
Palavra: ahi, Frequência: 19
Palavra: effeito, Frequência: 19
Palavra: doce, Frequência: 19
Palavra: acabar, Frequência: 19
Palavra: escrever, Frequência: 19
Palavra: nossos, Frequência: 19
Palavra: occasião, Frequência: 19
Palavra: muitos, Frequência: 19
Palavra: states, Frequência: 19
Palavra: parecia, Frequência: 19
Palavra: porém, Frequência: 19
Palavra: jantar, Frequência: 19
Palavra: pernas, Frequência: 19
Palavra: sentia, Frequência: 19
Palavra: vir, Frequência: 19
Palavra: favor, Frequência: 19
Palavra: mil, Frequência: 19
Palavra: lagrimas, Frequência: 19
Palavra: braços, Frequência: 19
Palavra: natural, Frequência: 19
Palavra: pude, Frequência: 19
Palavra: faz, Frequência: 19
Palavra: gestos, Frequência: 19
Palavra: andar, Frequência: 19
Palavra: achava, Frequência: 19
Palavra: vel, Frequência: 19
Palavra: apesar, Frequência: 19
Palavra: capaz, Frequência: 19
Palavra: verso, Frequência: 19
Palavra: retrato, Frequência: 19
Palavra: cima, Frequência: 18
Palavra: morreu, Frequência: 18
Palavra: marido, Frequência: 18
Palavra: ouvir, Frequência: 18
Palavra: passo, Frequência: 18
Palavra: oh, Frequência: 18
Palavra: deixei, Frequência: 18
Palavra: pudesse, Frequência: 18
Palavra: rosto, Frequência: 18
Palavra: alguem, Frequência: 18
Palavra: peccado, Frequência: 18
Palavra: instante, Frequência: 18
Palavra: sou, Frequência: 18
Palavra: license, Frequência: 18
Palavra: contei, Frequência: 18
Palavra: opinião, Frequência: 18
Palavra: afinal, Frequência: 18
Palavra: desejo, Frequência: 18
Palavra: agreement, Frequência: 18
Palavra: quintal, Frequência: 18
Palavra: proprio, Frequência: 18
Palavra: vista, Frequência: 17
Palavra: novo, Frequência: 17
Palavra: daquelle, Frequência: 17
Palavra: volta, Frequência: 17
Palavra: passou, Frequência: 17
Palavra: domingo, Frequência: 17
Palavra: estas, Frequência: 17
Palavra: desta, Frequência: 17
Palavra: all, Frequência: 17
Palavra: novamente, Frequência: 17
Palavra: silencio, Frequência: 17
Palavra: inteiramente, Frequência: 17
Palavra: historia, Frequência: 17
Palavra: embora, Frequência: 17
Palavra: be, Frequência: 17
Palavra: neste, Frequência: 17
Palavra: felicidade, Frequência: 17
Palavra: daqui, Frequência: 17
Palavra: ambos, Frequência: 17
Palavra: chão, Frequência: 17
Palavra: velha, Frequência: 17
Palavra: versos, Frequência: 17
Palavra: acabava, Frequência: 17
Palavra: other, Frequência: 17
Palavra: achou, Frequência: 17
Palavra: rindo, Frequência: 17
Palavra: vinte, Frequência: 17
Palavra: naquelle, Frequência: 17
Palavra: quatro, Frequência: 17
Palavra: te, Frequência: 16
Palavra: theatro, Frequência: 16
Palavra: defuncto, Frequência: 16
Palavra: teve, Frequência: 16
Palavra: senão, Frequência: 16
Palavra: sorriu, Frequência: 16
Palavra: tivesse, Frequência: 16
Palavra: casas, Frequência: 16
Palavra: emquanto, Frequência: 16
Palavra: titulo, Frequência: 16
Palavra: lembrou, Frequência: 16
Palavra: crer, Frequência: 16
Palavra: ultimo, Frequência: 16
Palavra: ouvia, Frequência: 16
Palavra: corri, Frequência: 16
Palavra: lingua, Frequência: 16
Palavra: deixou, Frequência: 16
Palavra: pés, Frequência: 16
Palavra: chamava, Frequência: 16
Palavra: alto, Frequência: 16
Palavra: ciumes, Frequência: 16
Palavra: basta, Frequência: 16
Palavra: causa, Frequência: 16
Palavra: entrei, Frequência: 16
Palavra: imperador, Frequência: 16
Palavra: iria, Frequência: 16
Palavra: dez, Frequência: 16
Palavra: bonito, Frequência: 16
Palavra: ouviu, Frequência: 16
Palavra: segunda, Frequência: 16
Palavra: visitas, Frequência: 16
Palavra: perguntei, Frequência: 16
Palavra: ressaca, Frequência: 16
Palavra: passar, Frequência: 15
Palavra: sendo, Frequência: 15
Palavra: justamente, Frequência: 15
Palavra: logar, Frequência: 15
Palavra: prazer, Frequência: 15
Palavra: from, Frequência: 15
Palavra: numero, Frequência: 15
Palavra: it, Frequência: 15
Palavra: andando, Frequência: 15
Palavra: segredo, Frequência: 15
Palavra: that, Frequência: 15
Palavra: caminho, Frequência: 15
Palavra: muitas, Frequência: 15
Palavra: medicina, Frequência: 15
Palavra: feliz, Frequência: 15
Palavra: demais, Frequência: 15
Palavra: opera, Frequência: 15
Palavra: chegou, Frequência: 15
Palavra: united, Frequência: 15
Palavra: amizade, Frequência: 15
Palavra: noticia, Frequência: 15
Palavra: concluiu, Frequência: 15
Palavra: nella, Frequência: 15
Palavra: donations, Frequência: 15
Palavra: antiga, Frequência: 15
Palavra: lhes, Frequência: 15
Palavra: gostava, Frequência: 15
Palavra: atraz, Frequência: 15
Palavra: may, Frequência: 15
Palavra: praia, Frequência: 15
Palavra: ficava, Frequência: 15
Palavra: bonita, Frequência: 15
Palavra: dá, Frequência: 15
Palavra: ler, Frequência: 15
Palavra: pobre, Frequência: 15
Palavra: vim, Frequência: 15
Palavra: passado, Frequência: 15
Palavra: peguei, Frequência: 15
Palavra: feito, Frequência: 14
Palavra: cheia, Frequência: 14
Palavra: alegria, Frequência: 14
Palavra: pelos, Frequência: 14
Palavra: tendo, Frequência: 14
Palavra: falando, Frequência: 14
Palavra: tinham, Frequência: 14
Palavra: separação, Frequência: 14
Palavra: fazel, Frequência: 14
Palavra: use, Frequência: 14
Palavra: comnosco, Frequência: 14
Palavra: entretanto, Frequência: 14
Palavra: ultima, Frequência: 14
Palavra: parede, Frequência: 14
Palavra: pensar, Frequência: 14
